Item,Parent,2011-12,2012-13,2013-14,2010-11
Australian Institute of Family Studies,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,14000000,15000000,0
Aboriginal Hostels Limited,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,59000000,57000000,0
Community Operated Hostels,Aboriginal Hostels Limited,0,4000000,4000000,0
Company Operated Hostels,Aboriginal Hostels Limited,0,54000000,52000000,0
Indigenous,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,1047000000,898000000,0
Stronger Futures in the Northern Territory,Indigenous,0,135000000,75000000,0
Indigenous Capability and Development,Indigenous,0,505000000,518000000,0
Native Title and Land Rights,Indigenous,0,93000000,95000000,0
Indigenous Housing and Infrastructure,Indigenous,0,98000000,111000000,0
Economic Development and Participation,Indigenous,0,213000000,96000000,0
Women,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,46000000,56000000,0
Disability and Carers,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,21848000000,23558000000,0
Early Intervention Services for Children with Disability,Disability and Carers,0,96000000,99000000,0
National Disability Insurance Scheme,Disability and Carers,0,81000000,370000000,0
Support for Carers,Disability and Carers,0,22000000,21000000,0
Services and Support for People with Disability,Disability and Carers,0,356000000,370000000,0
Income Support for Carers,Disability and Carers,0,6219000000,6892000000,0
Disability Support Pension,Disability and Carers,0,14871000000,15572000000,0
Targeted Community Care,Disability and Carers,0,200000000,232000000,0
Seniors,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,36818000000,39786000000,0
"Allow ances, Concessions and Services for seniors",Seniors,0,239000000,317000000,0
Income Support for Seniors,Seniors,0,36578000000,39469000000,0
Community Capability and the Vulnerable,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,423000000,525000000,0
Social and Community Services,Community Capability and the Vulnerable,0,70000000,145000000,0
Supplementary Payments and Support for Income Support Recipients,Community Capability and the Vulnerable,0,42000000,39000000,0
Support for People in Special Circumstances,Community Capability and the Vulnerable,0,9000000,6000000,0
Income Support for Vulnerable People,Community Capability and the Vulnerable,0,72000000,78000000,0
Community Investment,Community Capability and the Vulnerable,0,62000000,66000000,0
Financial Management,Community Capability and the Vulnerable,0,165000000,187000000,0
Housing,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,228000000,241000000,0
Affordable Housing,Housing,0,160000000,177000000,0
Housing Assistance and Homelessness Prevention,Housing,0,67000000,64000000,0
Families & Children,"Families, Housing, Community Services and Indigenous Affairs portfolio",0,22927000000,22590000000,0
Parent and Baby Payments,Families & Children,0,2360000000,2088000000,0
Other,Parent and Baby Payments,0,14000000,15000000,0
Dad and Partner Pay,Parent and Baby Payments,0,34000000,72000000,0
Single Income Family Supplement,Parent and Baby Payments,0,56000000,56000000,0
Parental Leave Pay,Parent and Baby Payments,0,1446000000,1579000000,0
Baby Bonus,Parent and Baby Payments,0,806000000,364000000,0
Family Tax Benefit,Families & Children,0,20270000000,20280000000,0
Other,Family Tax Benefit,0,26000000,17000000,0
Schoolkids Bonus,Family Tax Benefit,0,1407000000,1272000000,0
Family Tax Benefit Part B,Family Tax Benefit,0,4528000000,4636000000,0
Family Tax Benefit Part A,Family Tax Benefit,0,14307000000,14353000000,0
Family Support,Families & Children,0,296000000,221000000,0
Defence portfolio,Expenses,0,40628000000,41181000000,0
Defence Housing Australia,Defence portfolio,0,965000000,1061000000,0
Defence Material Organisation,Defence portfolio,0,8764000000,9658000000,0
Provision of Policy Advice and Management Services,Defence Material Organisation,0,111000000,112000000,0
